9/9/1996 7:10,9/9/1996 5:16,285,61,245,95,6.8,292,not a halo cme,15,TRUE,TRUE,,,
9/17/1996 11:10,9/17/1996 9:22,266,27,410,----,------,265,not a halo cme,2,TRUE,FALSE,Only 2 points, Only C2,
9/17/1996 20:50,9/17/1996 12:46,269,15,71,----,------,271,not a halo cme,2,TRUE,FALSE,Only 2 points, Only C2,
9/18/1996 0:10,9/17/1996 21:32,285,59,191,181,0.6,298,not a halo cme,8,TRUE,TRUE,,,
9/19/1996 6:20,9/18/1996 23:12,248,28,120,203,-17,247,not a halo cme,3,TRUE,FALSE,Only 3 points, Only C2,
9/20/1996 4:35,9/20/1996 2:58,244,19,128,0,9.9,252,not a halo cme,13,TRUE,TRUE,,,
9/20/1996 18:50,9/20/1996 18:47,75,33,274,145,4.4,72,not a halo cme,14,TRUE,TRUE,,,
9/22/1996 2:01,9/21/1996 21:45,70,32,188,151,2.7,71,not a halo cme,6,TRUE,TRUE,,,
9/27/1996 11:42,9/27/1996 10:07,277,17,276,99,16.1,272,not a halo cme,6,TRUE,TRUE,,,
9/29/1996 7:09,9/29/1996 3:52,313,32,164,92,5.9,304,not a halo cme,9,TRUE,TRUE,,,
10/1/1996 0:20,9/30/1996 22:04,258,52,320,289,2.9,254,not a halo cme,6,TRUE,TRUE,,,
10/5/1996 9:37,10/5/1996 9:51,266,161,569,412,16.8,312,partial halo cme,10,TRUE,TRUE,Partial Halo,,
10/8/1996 14:10,10/8/1996 10:59,229,21,154,181,-4.3,231,not a halo cme,5,TRUE,TRUE,,,
10/9/1996 0:25,10/8/1996 22:23,221,13,299,286,2.7,227,not a halo cme,3,TRUE,TRUE,Only 3 points,,
10/11/1996 2:50,10/10/1996 23:15,111,45,209,148,7,108,not a halo cme,5,TRUE,TRUE,,,
10/14/1996 15:15,10/14/1996 12:14,268,37,195,65,37.3,270,not a halo cme,3,TRUE,FALSE,Only 3 points, Only C2,
10/19/1996 12:45,10/19/1996 2:39,120,25,71,74,-0.3,118,not a halo cme,6,TRUE,TRUE,Not LE,,
10/19/1996 17:17,10/19/1996 16:23,159,170,480,369,9.4,124,partial halo cme,8,TRUE,TRUE,Partial Halo,,
10/20/1996 9:01,10/20/1996 1:14,68,31,74,----,------,61,not a halo cme,2,TRUE,FALSE,Only 2 points, Only C2,
10/20/1996 13:19,10/20/1996 10:47,300,35,254,237,2.7,295,not a halo cme,4,TRUE,TRUE,,,
10/24/1996 2:35,10/23/1996 22:07,41,34,176,143,3.4,54,not a halo cme,7,TRUE,TRUE,,,
10/26/1996 20:19,10/26/1996 11:46,308,42,64,46,2,312,not a halo cme,7,TRUE,FALSE,Only C2,,
10/27/1996 13:57,10/27/1996 4:38,295,17,76,76,0,299,not a halo cme,11,TRUE,TRUE,,,
10/28/1996 20:29,10/28/1996 18:11,279,42,206,0,11,293,not a halo cme,14,TRUE,TRUE,,,
10/30/1996 5:40,10/30/1996 4:39,247,25,582,565,2.6,253,not a halo cme,5,TRUE,TRUE,,,
10/30/1996 7:11,10/30/1996 4:04,87,40,217,160,8.2,91,not a halo cme,5,TRUE,TRUE,,,
10/31/1996 6:25,10/31/1996 6:15,256,16,455,587,-21.7,260,not a halo cme,5,TRUE,TRUE,,,
11/1/1996 3:21,11/1/1996 1:40,257,7,357,449,-34.9,261,not a halo cme,3,TRUE,FALSE,Only 3 points, Only C2,
11/3/1996 13:11,11/3/1996 9:21,279,47,185,191,-1.8,270,not a halo cme,4,TRUE,TRUE,,,
